code,name,description,pricing_method,rate,applies_to,iso_form
ERC_110,Extended Replacement Cost 110%,Pays up to 110% of dwelling limit if rebuild costs exceed the policy limit — carrier-specific form not in ISO standard,percent_of_base,0.01,HOMEOWNERS|MOBILEHOME,Carrier-specific
ERC_125,Extended Replacement Cost 125%,Pays up to 125% of dwelling limit (ISO HO 04 20 25% option; ISO filing factor 1.03),percent_of_base,0.03,HOMEOWNERS|MOBILEHOME,HO 04 20
ERC_150,Extended Replacement Cost 150%,Pays up to 150% of dwelling limit (ISO HO 04 20 50% option; ISO filing factor 1.06),percent_of_base,0.06,HOMEOWNERS|MOBILEHOME,HO 04 20
ERC_200,Extended Replacement Cost 200%,Pays up to 200% of dwelling limit — carrier-specific; approaches guaranteed replacement cost territory,percent_of_base,0.10,HOMEOWNERS|MOBILEHOME,Carrier-specific
GRC,Guaranteed Replacement Cost,Pays full actual reconstruction cost regardless of policy limit — rarely available in CA wildfire-exposed areas (ISO HO 04 11; ISO filing factor 1.15),percent_of_base,0.15,HOMEOWNERS|MOBILEHOME,HO 04 11
BUILDING_CODE_UPGRADE,Building Code Upgrade — Ordinance & Law,Increases code-compliance rebuild coverage above the CA-mandatory 10% floor. CA ICC §10103.7 requires 10% minimum; this endorsement adds more. Typical cost ~$66/yr per $40K of additional coverage (ISO HO 04 77),flat,66.00,HOMEOWNERS|MOBILEHOME,HO 04 77
INFLATION_GUARD_4,Inflation Guard 4%,Automatically increases Coverage A/B/C/D limits 4% annually on a pro-rata basis to track construction cost inflation (ISO HO 04 46),percent_of_base,0.02,HOMEOWNERS|CONDOMINIUM|MOBILEHOME,HO 04 46
INFLATION_GUARD_6,Inflation Guard 6%,Automatically increases Coverage A/B/C/D limits 6% annually — recommended for CA given post-wildfire construction cost spikes (ISO HO 04 46),percent_of_base,0.03,HOMEOWNERS|CONDOMINIUM|MOBILEHOME,HO 04 46
REPLACEMENT_PERSONAL_PROPERTY,Replacement Value — Personal Property,Upgrades personal property (Coverage C) loss settlement from actual cash value to full replacement cost. Ineligible: antiques fine arts collectibles. Replacement must be completed within 180 days (ISO HO 04 90),percent_of_base,0.12,HOMEOWNERS|CONDOMINIUM|MOBILEHOME|RENTERS,HO 04 90
WATER_BACKUP_5K,Water Backup and Sump Overflow ($5K),Covers water damage from sewer/drain backup or sump pump overflow up to $5000. Removes power-failure exclusion for this peril (ISO HO 04 95 limited form),flat,60.00,HOMEOWNERS|CONDOMINIUM|MOBILEHOME,HO 04 95
WATER_BACKUP_25K,Water Backup and Sump Overflow ($25K),Broader water backup coverage up to $25000 — removes origin-of-water restriction (ISO HO 06 95 broadened form),flat,120.00,HOMEOWNERS|CONDOMINIUM|MOBILEHOME,HO 06 95
SERVICE_LINE,Service Line Coverage ($10K),Covers underground utility line repair on the insured's property — water/sewer/electric/gas/communications lines. Covers wear-and-tear and tree-root damage excluded by standard HO (ISO HO 06 69; introduced 2022 program),flat,55.00,HOMEOWNERS|MOBILEHOME,HO 06 69
IDENTITY_FRAUD,Identity Fraud Expense ($15K),Reimburses identity fraud recovery costs up to $15000 including attorney fees lost income ($200/day cap) and long-distance calls. $500 deductible (ISO HO 04 55),flat,40.00,ALL,HO 04 55
PERSONAL_INJURY_LIABILITY,Personal Injury Liability,Extends liability coverage to personal injury torts not in standard HO: false arrest libel slander wrongful eviction invasion of privacy (ISO HO 24 10),flat,25.00,ALL,HO 24 10
WORKERS_COMP,Workers Compensation,Covers workers compensation liability for household/domestic employees (HO 90 10 86),flat,4.00,ALL,HO 90
LOSS_ASSESSMENT_10K,Loss Assessment Coverage ($10K),Increases special assessment coverage to $10000 for HOA or condo association losses from covered perils above the standard $1000 limit (ISO HO 04 35),flat,25.00,HOMEOWNERS|CONDOMINIUM,HO 04 35
LOSS_ASSESSMENT_EARTHQUAKE,Earthquake Loss Assessment,Covers the insured's share of an HOA/condo special assessment resulting from earthquake damage — critical for CA condo owners (ISO HO 04 36),flat,50.00,HOMEOWNERS|CONDOMINIUM,HO 04 36
EQUIPMENT_BREAKDOWN,Equipment Breakdown,Covers repair or replacement of household appliances and mechanical systems (HVAC water heater electrical panels) from mechanical or electrical failure — perils excluded by standard HO (ISO HO 06 33),flat,50.00,HOMEOWNERS|CONDOMINIUM|MOBILEHOME,HO 06 33
MOLD_COVERAGE,Mold and Fungi Coverage,Limited coverage for fungi wet/dry rot and bacteria including remediation air testing and associated liability sublimit. Not covered by standard HO without this endorsement (ISO HO 04 26/27),flat,50.00,HOMEOWNERS|CONDOMINIUM|MOBILEHOME,HO 04 26
HOME_SHARING,Home-Sharing Host Activities,Removes the standard HO exclusion for short-term rental hosting (Airbnb/VRBO). Covers both property and liability during hosting periods (ISO HO 06 62),flat,125.00,HOMEOWNERS,HO 06 62
HOME_BUSINESS,Home Business Insurance (Comprehensive),Standalone mini-commercial policy attached to HO. Covers business personal property valuable papers accounts receivable and business liability for a business operated from the residence (ISO HO 07 01). Rate is approximate midpoint,flat,500.00,HOMEOWNERS,HO 07 01
GREEN_UPGRADES,Green and Sustainable Building Upgrades,Covers the additional cost to repair or replace damaged property with LEED-equivalent certified green/sustainable materials and construction methods (ISO HO 06 31),percent_of_base,0.02,HOMEOWNERS|MOBILEHOME,HO 06 31
ASSISTED_LIVING,Assisted Living Care Coverage,Extends personal property coverage to a relative residing in an assisted living or skilled care facility (ISO HO 04 59),flat,35.00,HOMEOWNERS|CONDOMINIUM,HO 04 59
